input_id	dealiased_id	standard_id	short_id
doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	PZMP42Ak
doi:10.1038/s41467-017-02388-1	doi:10.1038/s41467-017-02388-1	doi:10.1038/s41467-017-02388-1	lwg6sPLT
doi:10.1038/s41467-018-05378-z	doi:10.1038/s41467-018-05378-z	doi:10.1038/s41467-018-05378-z	WGfstNkj
url:https://github.com/Benjamin-Lee/deep-rules	url:https://github.com/Benjamin-Lee/deep-rules	url:https://github.com/Benjamin-Lee/deep-rules	ysdRl4lj
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
doi:10.1186/s13040-017-0155-3	doi:10.1186/s13040-017-0155-3	doi:10.1186/s13040-017-0155-3	p4Nl5If0
doi:10.1007/BF02551274	doi:10.1007/BF02551274	doi:10.1007/bf02551274	xwsS0Nlg
tag:hornik-approximation	doi:10.1016/0893-6080(91)90009-T	doi:10.1016/0893-6080(91)90009-t	1BnILgle7
arxiv:1605.07723v3	arxiv:1605.07723v3	arxiv:1605.07723v3	15N3fu3hC
arxiv:1511.06348	arxiv:1511.06348	arxiv:1511.06348	iAeJlSAZ
doi:10.1109/JPROC.2017.2761740	doi:10.1109/JPROC.2017.2761740	doi:10.1109/jproc.2017.2761740	L7EocHX2
arxiv:2005.14165	arxiv:2005.14165	arxiv:2005.14165	bYOaJHMe
arxiv:1906.02243	arxiv:1906.02243	arxiv:1906.02243	1CnZlKOVj
arxiv:1809.00238	arxiv:1809.00238	arxiv:1809.00238	E2JcoiqW
arxiv:1603.04467	arxiv:1603.04467	arxiv:1603.04467	hOeUlCvS
arxiv:1912.01703	arxiv:1912.01703	arxiv:1912.01703	iTP4h1rX
doi:10.1007/978-3-319-31204-0_9	doi:10.1007/978-3-319-31204-0_9	doi:10.1007/978-3-319-31204-0_9	12tC5JTV6
https://github.com/apple/turicreate	https://github.com/apple/turicreate	url:https://github.com/apple/turicreate	ndSzNxZQ
arxiv:1806.10282	arxiv:1806.10282	arxiv:1806.10282	ra8TSEHY
https://keras.io	https://keras.io	url:https://keras.io	fMQbR11C
doi:10.1145/3065386	doi:10.1145/3065386	doi:10.1145/3065386	fVSo2gZU
doi:10.1111/2041-210X.13436	doi:10.1111/2041-210X.13436	doi:10.1111/2041-210x.13436	lBFmt4aO
doi:10.1038/s41746-018-0029-1	doi:10.1038/s41746-018-0029-1	doi:10.1038/s41746-018-0029-1	1DssZebFm
doi:10.1186/s13321-017-0226-y	doi:10.1186/s13321-017-0226-y	doi:10.1186/s13321-017-0226-y	19zfIm033
doi:10.1038/s41746-019-0122-0	doi:10.1038/s41746-019-0122-0	doi:10.1038/s41746-019-0122-0	lvjgHDOe
arxiv:1803.04765	arxiv:1803.04765	arxiv:1803.04765	uBcf6TJ2
arxiv:1805.11783	arxiv:1805.11783	arxiv:1805.11783	2bsGpiQt
doi:10.1142/9789813279827_0033	doi:10.1142/9789813279827_0033	doi:10.1142/9789813279827_0033	gTcMnARc
doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	doi:10.1371/journal.pcbi.1004947	kEX5dgzK
doi:10.1371/journal.pcbi.1003285	doi:10.1371/journal.pcbi.1003285	doi:10.1371/journal.pcbi.1003285	Pf3steOn
arxiv:1810.08055	arxiv:1810.08055	arxiv:1810.08055	Tx4vUlOa
url:https://docs.nvidia.com/deeplearning/sdk/cudnn-developer-guide/index.html#reproducibility	url:https://docs.nvidia.com/deeplearning/sdk/cudnn-developer-guide/index.html#reproducibility	url:https://docs.nvidia.com/deeplearning/sdk/cudnn-developer-guide/index.html#reproducibility	1GSwNJdl7
url:https://papers.nips.cc/paper/7003-the-marginal-value-of-adaptive-gradient-methods-in-machine-learning	url:https://papers.nips.cc/paper/7003-the-marginal-value-of-adaptive-gradient-methods-in-machine-learning	url:https://papers.nips.cc/paper/7003-the-marginal-value-of-adaptive-gradient-methods-in-machine-learning	mIx19cpn
doi:10.1038/ng1201-365	doi:10.1038/ng1201-365	doi:10.1038/ng1201-365	YuxbleXb
doi:10.1038/nrg2825	doi:10.1038/nrg2825	doi:10.1038/nrg2825	mPnIAH38
doi:10.1007/978-3-642-35289-8	doi:10.1007/978-3-642-35289-8	doi:10.1007/978-3-642-35289-8	JT3rHKc7
arxiv:1803.01271	arxiv:1803.01271	arxiv:1803.01271	aqgi0yxG
tag:Yosinski2014	https://papers.nips.cc/paper/5347-how-transferable-are-features-in-deep-neural-networks	url:https://papers.nips.cc/paper/5347-how-transferable-are-features-in-deep-neural-networks	enhj7VT6
doi:10.1007/s11263-015-0816-y	doi:10.1007/s11263-015-0816-y	doi:10.1007/s11263-015-0816-y	cBVeXnZx
doi:10.1007/s10278-016-9914-9	doi:10.1007/s10278-016-9914-9	doi:10.1007/s10278-016-9914-9	x6HXFAS4
doi:10.1101/375345	doi:10.1101/375345	doi:10.1101/375345	14cVrrqP1
doi:10.1109/CVPRW.2014.131	doi:10.1109/CVPRW.2014.131	doi:10.1109/cvprw.2014.131	x7a5SM90
doi:10.1109/TBDATA.2016.2573280	doi:10.1109/TBDATA.2016.2573280	doi:10.1109/tbdata.2016.2573280	ZwUaSNWa
tag:srivastava-dropout	http://dl.acm.org/citation.cfm?id=2670313	url:http://dl.acm.org/citation.cfm?id=2670313	wgOFUxdw
tag:ioffe-batchnorm	https://dl.acm.org/citation.cfm?id=3045118.3045167	url:https://dl.acm.org/citation.cfm?id=3045118.3045167	4oKcgKmU
arxiv:1811.12808	arxiv:1811.12808	arxiv:1811.12808	1CDx6NYSj
doi:10.1162/089976698300017197	doi:10.1162/089976698300017197	doi:10.1162/089976698300017197	hJQdIoO3
pmid:25738806	pmid:25738806	pubmed:25738806	KnxQ4G8
doi:10.1021/acs.molpharmaceut.7b00578	doi:10.1021/acs.molpharmaceut.7b00578	doi:10.1021/acs.molpharmaceut.7b00578	rKXyJKNt
url:http://jmlr.csail.mit.edu/papers/v15/srivastava14a.html	url:http://jmlr.csail.mit.edu/papers/v15/srivastava14a.html	url:http://jmlr.csail.mit.edu/papers/v15/srivastava14a.html	R1RpVu06
tag:krogh-weight-decay	http://dl.acm.org/citation.cfm?id=2986916.2987033	url:http://dl.acm.org/citation.cfm?id=2986916.2987033	eR3C2hhK
doi:10.1021/acschembio.8b00881	doi:10.1021/acschembio.8b00881	doi:10.1021/acschembio.8b00881	yqAEYaMg
doi:10.1371/journal.pmed.1002683	doi:10.1371/journal.pmed.1002683	doi:10.1371/journal.pmed.1002683	NDyhvXoh
